area,city,country,hotel_star_rating,latitude,longitude,mmt_location_rating,mmt_review_count,mmt_review_score,mmt_traveller_type_review_count,mmt_tripadvisor_count,property_address,property_id,property_name,property_type,room_types,site_review_rating,traveller_rating,uniq_id,Location,Hospitality,Facilities,Cleanliness,Value for Money,Food
Hardasji Ki Magri,Udaipur,Hotel,1,24.581788,73.667805,0,0.0,4.5,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},6.0,"Zion, F-17, Haridas Ji Ki Magri, Near Bal Vinay Mandir School , Hardasji Ki Magri",201302071713316867,Zion Home Stay,Hotel,Hotel,4.5,0,78ddf880bd7937d384ff278cc5b39d6e,0.0,0.0,0.0,0.0,0.0,0.0
Near Nai Gaon,Udaipur,Hotel,3,24.544342,73.644242,0,0.0,4.5,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},34.0,"Udaipur-Jhadol Road , Near Nai Gaon",201312041703404727,Araliayas Resorts,Hotel,Hotel,4.5,0,9f9f9cbb2f7df8089b63d5cdeb257944,0.0,0.0,0.0,0.0,0.0,0.0
Near Bagore Ki Haveli,Udaipur,Hotel,2,24.579942,73.681953,0,0.0,0.0,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},16.0,"23/208 Gangaur Ghat Near Bagore Ki Haveli , Near Bagore Ki Haveli",201407171324437682,Shri Udai Palace,Hotel,Hotel,0.0,0,b314bb7fa8bfb1ed306f517be21d729e,0.0,0.0,0.0,0.0,0.0,0.0
Dabok,Udaipur,Hotel,1,24.622607,73.855194,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,3.0,"Opp GITS, NH-76, Bamaniya Khet, Dabok , Dabok",201407181538181173,SNP House Airport Hotel And Restaurant,Hotel,Hotel,0.0,0,e6f5bb3c2d76a78d978b9ceb0e31ec56,0.0,0.0,0.0,0.0,0.0,0.0
East Udaipur,Udaipur,Hotel,2,24.5801,73.6822,0,0.0,3.7,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},139.0,"64 Ghangour Ghat, Opp Bagore Ki Haveli , East Udaipur",201409021258573714,Hotel Pichola Haveli (LAKE SIDE),Hotel,Hotel,3.7,0,63072c301427b6ca450d31eea127bcf0,0.0,0.0,0.0,0.0,0.0,0.0
Lake Palace Road,Udaipur,Hotel,1,24.575779,73.694363,0,0.0,4.1,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},79.0,"OppSajjan Niwas Garden , Lake Palace Road",201409041608347125,Garden Hotel,Hotel,Hotel,4.1,0,d7362b28603b1c20454c6b3ecaa91fca,0.0,0.0,0.0,0.0,0.0,0.0
Lake Pichola,Udaipur,Hotel,3,24.567592,73.677763,0,0.0,0.0,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},92.0,"Lake Pichola , Lake Pichola",201409041737227215,Jagmandir Island Palace,Hotel,Hotel,0.0,0,88c26b37f8af392c203700d8fc02a798,0.0,0.0,0.0,0.0,0.0,0.0
Udaipur,Udaipur,Hotel,3,24.5452,73.6784,0,0.0,3.9,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},176.0,"Goverdhan Vilas , Udaipur",201409041749354262,Shikarbadi Heritage,Hotel,Hotel,3.9,0,38f275baaa223914769b73479d981551,0.0,0.0,0.0,0.0,0.0,0.0
"City Palace,The City Palace Complex",Udaipur,Hotel,4,24.574291,73.684014,0,0.0,4.8,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},344.0,"Lake Pichola, The Palace Complex , Udaipur",201409041809296660,Shiv Niwas Palace,Hotel,Hotel,4.8,0,25c1973c76b18e2eef860230fd48d621,0.0,0.0,0.0,0.0,0.0,0.0
"Sukhadia Circule,New Fatehpura,Panchwati",Udaipur,Hotel,2,24.599427,73.69001,0,0.0,4.7,Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}},12.0,"61-A New Fatehpura,Sukhadia Circle. , Sukhadia Circule",201409041814552011,Hotel The Archi,Hotel,Hotel,4.7,0,402dc013819dfe5193a0f97ea8e6d95e,0.0,0.0,0.0,0.0,0.0,0.0
